"region_32_code","ctry_code","region","ctry_name"
29,238,"Southeast Asia","Fiji"
23,103,"Russia","Russia"
13,17,"EU-15","Wallis & Futuna"
6,223,"Australia_NZ","New Zealand"
1,150,"USA","United States"
29,40,"Southeast Asia","Midway Is."
29,16,"Southeast Asia","Tonga"
29,38,"Southeast Asia","Kiribati"
29,14,"Southeast Asia","Samoa"
29,15,"Southeast Asia","Tokelau"
29,9,"Southeast Asia","American Samoa"
29,13,"Southeast Asia","Niue"
29,37,"Southeast Asia","Johnston Atoll"
29,10,"Southeast Asia","Cook Is."
29,11,"Southeast Asia","French Polynesia"
8,34,"Canada","Canada"
29,3,"Southeast Asia","Pitcairn Is."
20,39,"Mexico","Mexico"
26,21,"South America_Southern","Chile"
9,35,"Central America and Caribbean","Guatemala"
26,22,"South America_Southern","Ecuador"
9,62,"Central America and Caribbean","El Salvador"
9,63,"Central America and Caribbean","Honduras"
9,57,"Central America and Caribbean","Belize"
9,64,"Central America and Caribbean","Nicaragua"
9,60,"Central America and Caribbean","Costa Rica"
9,61,"Central America and Caribbean","Cuba"
9,65,"Central America and Caribbean","Panama"
32,59,"Colombia","Colombia"
26,24,"South America_Southern","Peru"
9,58,"Central America and Caribbean","Cayman Is."
9,55,"Central America and Caribbean","The Bahamas"
9,53,"Central America and Caribbean","Jamaica"
9,52,"Central America and Caribbean","Haiti"
7,20,"Brazil","Brazil"
31,18,"Argentina","Argentina"
25,8,"South America_Northern","Venezuela"
13,67,"EU-15","Greenland"
13,56,"EU-15","Turks & Caicos Is."
9,51,"Central America and Caribbean","Dominican Republic"
26,19,"South America_Southern","Bolivia"
9,54,"Central America and Caribbean","Netherlands Antilles"
1,30,"USA","Puerto Rico"
1,32,"USA","Virgin Is."
9,50,"Central America and Caribbean","Bermuda"
9,26,"Central America and Caribbean","Anguilla"
9,31,"Central America and Caribbean","St. Kitts & Nevis"
26,23,"South America_Southern","Paraguay"
9,29,"Central America and Caribbean","Montserrat"
9,7,"Central America and Caribbean","Trinidad & Tobago"
9,43,"Central America and Caribbean","Grenada"
9,44,"Central America and Caribbean","Guadeloupe"
9,27,"Central America and Caribbean","Antigua & Barbuda"
9,48,"Central America and Caribbean","St. Vincent & the Grenadines"
9,45,"Central America and Caribbean","Martinique"
9,42,"Central America and Caribbean","Dominica"
13,0,"EU-15","Falkland Is."
25,2,"South America_Northern","Guyana"
9,41,"Central America and Caribbean","Barbados"
26,25,"South America_Southern","Uruguay"
25,6,"South America_Northern","Suriname"
13,47,"EU-15","St. Pierre & Miquelon"
25,1,"South America_Northern","French Guiana"
26,4,"South America_Southern","South Georgia & the South Sandwich Is."
13,81,"EU-15","Portugal"
5,75,"Africa_Western","Cape Verde"
16,69,"European Free Trade Association","Iceland"
13,82,"EU-15","Spain"
5,89,"Africa_Western","Senegal"
5,88,"Africa_Western","Mauritania"
3,83,"Africa_Northern","Western Sahara"
5,91,"Africa_Western","The Gambia"
5,86,"Africa_Western","Guinea-Bissau"
5,85,"Africa_Western","Guinea"
13,5,"EU-15","St. Helena"
5,90,"Africa_Western","Sierra Leone"
3,80,"Africa_Northern","Morocco"
5,87,"Africa_Western","Mali"
5,79,"Africa_Western","Liberia"
13,70,"EU-15","Ireland"
16,72,"European Free Trade Association","Jan Mayen"
5,76,"Africa_Western","Cote d'Ivoire"
3,106,"Africa_Northern","Algeria"
13,74,"EU-15","United Kingdom"
13,66,"EU-15","Faroe Is."
5,84,"Africa_Western","Burkina Faso"
13,145,"EU-15","France"
13,71,"EU-15","Isle of Man"
5,77,"Africa_Western","Ghana"
13,68,"EU-15","Guernsey"
13,73,"EU-15","Jersey"
5,119,"Africa_Western","Togo"
5,116,"Africa_Western","Niger"
5,111,"Africa_Western","Benin"
5,117,"Africa_Western","Nigeria"
13,144,"EU-15","Belgium"
13,248,"EU-15","Netherlands"
16,102,"European Free Trade Association","Norway"
5,118,"Africa_Western","Sao Tome & Principe"
13,148,"EU-15","Luxembourg"
13,146,"EU-15","Germany"
16,149,"European Free Trade Association","Switzerland"
13,123,"EU-15","Italy"
3,110,"Africa_Northern","Tunisia"
5,115,"Africa_Western","Equatorial Guinea"
13,138,"EU-15","Denmark"
5,220,"Africa_Western","Gabon"
5,112,"Africa_Western","Cameroon"
3,108,"Africa_Northern","Libya"
13,136,"EU-15","Austria"
13,104,"EU-15","Sweden"
16,143,"European Free Trade Association","Svalbard"
5,218,"Africa_Western","Congo Rep."
4,222,"Africa_Southern","Namibia"
4,217,"Africa_Southern","Angola"
5,219,"Africa_Western","Congo DRC"
12,137,"EU-12","Czech Republic"
5,114,"Africa_Western","Chad"
15,122,"Europe_Non_EU","Croatia"
12,142,"EU-12","Slovenia"
12,125,"EU-12","Malta"
5,113,"Africa_Western","Central African Republic"
12,140,"EU-12","Poland"
15,121,"Europe_Non_EU","Bosnia & Herzegovina"
24,224,"South Africa","South Africa"
12,139,"EU-12","Hungary"
12,141,"EU-12","Slovakia"
15,247,"Europe_Non_EU","Montenegro"
15,120,"Europe_Non_EU","Albania"
15,246,"Europe_Non_EU","Serbia"
