scenario,region,class,subRegion,units,x,value,subRegType,classPalette
SSP2_Ref,Global,Corn,Adriatic_Sea_Greece_Black_Sea_Coast,Agricultural Productivity (% Difference),2015,0.662717613,subBasin,pal_green
SSP2_Ref,Global,Corn,Adriatic_Sea_Greece_Black_Sea_Coast,Agricultural Productivity (% Difference),2030,0.73710487,subBasin,pal_green
SSP2_Ref,Global,Corn,Adriatic_Sea_Greece_Black_Sea_Coast,Agricultural Productivity (% Difference),2050,0.76536903,subBasin,pal_green
SSP2_Ref,Global,Corn,Adriatic_Sea_Greece_Black_Sea_Coast,Agricultural Productivity (% Difference),2100,0.847847368,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_East_Central_Coast,Agricultural Productivity (% Difference),2015,0.166650169,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_East_Central_Coast,Agricultural Productivity (% Difference),2030,0.201490738,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_East_Central_Coast,Agricultural Productivity (% Difference),2050,0.24600424,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_East_Central_Coast,Agricultural Productivity (% Difference),2100,0.273166981,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_Indian_Ocean_Coast,Agricultural Productivity (% Difference),2015,0.153496967,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_Indian_Ocean_Coast,Agricultural Productivity (% Difference),2030,0.21930544,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_Indian_Ocean_Coast,Agricultural Productivity (% Difference),2050,0.265928208,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_Indian_Ocean_Coast,Agricultural Productivity (% Difference),2100,0.294488616,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_North_Interior,Agricultural Productivity (% Difference),2015,0.302962201,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_North_Interior,Agricultural Productivity (% Difference),2030,0.422714215,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_North_Interior,Agricultural Productivity (% Difference),2050,0.518388851,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_North_Interior,Agricultural Productivity (% Difference),2100,0.59723618,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_North_West_Coast,Agricultural Productivity (% Difference),2015,0.09001012,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_North_West_Coast,Agricultural Productivity (% Difference),2030,0.125797202,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_North_West_Coast,Agricultural Productivity (% Difference),2050,0.150582924,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_North_West_Coast,Agricultural Productivity (% Difference),2100,0.166722231,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_Red_Sea_Gulf_of_Aden_Coast,Agricultural Productivity (% Difference),2015,0.163587433,subBasin,pal_green
SSP2_Ref,Global,Corn,Africa_Red_Sea_Gulf_of_Aden_Coast,Agricultural Productivity (% Difference),2030,0.268622297,subBasin,pal_green
